mutation,biosensor,tau_frames,n_exp_jumps,n_exp_total,n_unexp_jumps,n_unexp_total,tau_min,p_exp,p_unexp,RR
Wild_Type,AKT (PI3K),14,479653,3235467,562619,4638790,70,0.1482484599595669,0.12128572321661468,1.2223075892848256
Wild_Type,AKT (PI3K),15,476377,3219163,565895,4655094,75,0.14798163373522868,0.12156467731908313,1.217307831507719
Wild_Type,AKT (PI3K),16,473685,3203474,568587,4670783,80,0.14786603543528057,0.12173269449683276,1.2146780784444704
Wild_Type,AKT (PI3K),17,470801,3186968,571471,4687289,85,0.14772693042415236,0.12191930132748376,1.2116779608779704
Wild_Type,AKT (PI3K),18,468041,3171636,574231,4702621,90,0.14757084356464614,0.12210871341747506,1.208520173823461
Wild_Type,AKT (PI3K),19,464842,3155938,577430,4718319,95,0.14729123322448032,0.12238044947787549,1.2035519876980703
Wild_Type,AKT (PI3K),20,461554,3141004,580718,4733253,100,0.1469447348682141,0.1226889836651453,1.1977011340257733
Wild_Type,AKT (PI3K),21,458017,3125679,584255,4748578,105,0.1465336011791358,0.12303788628932703,1.1909632520389528
Wild_Type,AKT (PI3K),22,455358,3110156,586914,4764101,110,0.1464100193044979,0.12319512117816142,1.18844007704464
Wild_Type,AKT (PI3K),23,452629,3094368,589643,4779889,115,0.14627510367222,0.12335914076665797,1.1857662331558316
Wild_Type,AKT (PI3K),24,450327,3078286,591945,4795971,120,0.1462914751910641,0.12342547525829493,1.185261591133573
Wild_Type,AKT (PI3K),25,447208,3063046,595064,4811211,125,0.14600107213538419,0.12368279005015577,1.1804477573329153
Wild_Type,AKT (PI3K),26,444453,3046882,597819,4827375,130,0.14587141871592008,0.12383935368600947,1.177908430350599
Wild_Type,AKT (PI3K),27,442234,3031525,600038,4842732,135,0.14587839453740278,0.12390485370654415,1.1773420505616405
Wild_Type,AKT (PI3K),28,439562,3016353,602710,4857904,140,0.14572631253702734,0.12406791076974762,1.1745689246550999
Wild_Type,AKT (PI3K),29,436228,3001073,606044,4873184,145,0.1453573438566806,0.1243630447772955,1.1688146114223954
Wild_Type,AKT (PI3K),30,432842,2986085,609430,4888172,150,0.1449530070309452,0.12467441816695485,1.162652364150878
Wild_Type,ERK (MAPK),0,389420,3038165,356152,4836092,0,0.12817605363763981,0.07364458740652577,1.7404680798888137
Wild_Type,ERK (MAPK),1,376487,3022282,369085,4851975,5,0.1245704404817287,0.0760690234389089,1.6375974720087125
Wild_Type,ERK (MAPK),2,362478,3006509,383094,4867748,10,0.12056441540670591,0.0787004586104293,1.531940442729883
Wild_Type,ERK (MAPK),3,349228,2990875,396344,4883382,15,0.11676449199648932,0.08116178500883199,1.4386634298861596
Wild_Type,ERK (MAPK),4,337156,2975191,408416,4899066,20,0.11332247240597326,0.083366094680088,1.3593352650239996
Wild_Type,ERK (MAPK),5,326942,2959632,418630,4914625,25,0.11046711212745368,0.08518045629117175,1.296859830732119
Wild_Type,ERK (MAPK),6,318215,2944270,427357,4929987,30,0.10807942206387322,0.08668521843972408,1.2468033652014783
Wild_Type,ERK (MAPK),7,311131,2928664,434441,4945593,35,0.10623649554882363,0.08784406642439035,1.209375884713444
Wild_Type,ERK (MAPK),8,305301,2912754,440271,4961503,40,0.10481523671412003,0.0887374249295022,1.1811841147902467
Wild_Type,ERK (MAPK),9,301192,2897230,444380,4977027,45,0.10395860874007241,0.08928623453318618,1.1643296336058697
Wild_Type,ERK (MAPK),10,297848,2881738,447724,4992519,50,0.10335707132293082,0.08967897768641442,1.152522854178215
Wild_Type,ERK (MAPK),11,294709,2866765,450863,5007492,55,0.10280193877070495,0.09003768752900654,1.1417656493852786
Wild_Type,ERK (MAPK),12,292591,2851844,452981,5022413,60,0.10259712663104995,0.09019190576322576,1.1375425074217935
